Date, Close,5-Day
1/27/11,16.15,0
1/28/11,20.04,1
1/31/11,19.53,1
2/1/11,17.63,0
2/2/11,17.3,0
2/3/11,16.69,0
2/4/11,15.93,0
2/7/11,16.28,0
2/8/11,15.81,0
2/9/11,15.87,0
2/10/11,16.09,0
2/11/11,15.69,0
2/14/11,15.95,1
2/15/11,16.37,1
2/16/11,16.72,1
2/17/11,16.59,1
2/18/11,16.43,1
2/22/11,20.8,1
2/23/11,22.13,1
2/24/11,21.32,1
2/25/11,19.22,0
2/28/11,18.35,0
3/1/11,21.01,1
3/2/11,20.7,1
3/3/11,18.6,0
3/4/11,19.06,0
3/7/11,20.66,1
3/8/11,19.82,0
3/9/11,20.22,1
3/10/11,21.88,1
3/11/11,20.08,0
3/14/11,21.13,1
3/15/11,24.32,1
3/16/11,29.4,1
3/17/11,26.37,1
3/18/11,24.44,1
3/21/11,20.61,0
3/22/11,20.21,0
3/23/11,19.17,0
3/24/11,18,0
3/25/11,17.91,0
3/28/11,19.44,1
3/29/11,18.16,0
3/30/11,17.71,0
3/31/11,17.74,0
4/1/11,17.4,0
4/4/11,17.5,0
4/5/11,17.25,0
4/6/11,16.9,0
4/7/11,17.11,0
4/8/11,17.87,1
4/11/11,16.59,0
4/12/11,17.09,0
4/13/11,16.92,0
4/14/11,16.27,0
4/15/11,15.32,0
4/18/11,16.96,1
4/19/11,15.83,0
4/20/11,15.07,0
4/21/11,14.69,0
4/25/11,15.77,1
4/26/11,15.62,0
4/27/11,15.35,0
4/28/11,14.62,0
4/29/11,14.75,0
5/2/11,15.99,1
5/3/11,16.7,1
5/4/11,17.08,1
5/5/11,18.2,1
5/6/11,18.4,1
5/9/11,17.16,0
5/10/11,15.91,0
5/11/11,16.95,0
5/12/11,16.03,0
5/13/11,17.07,1
5/16/11,18.24,1
5/17/11,17.55,1
5/18/11,16.23,0
5/19/11,15.52,0
5/20/11,17.43,1
5/23/11,18.27,1
5/24/11,17.82,1
5/25/11,17.07,1
5/26/11,16.09,0
5/27/11,15.98,0
5/31/11,15.45,0
6/1/11,18.3,1
6/2/11,18.09,1
6/3/11,17.95,1
6/6/11,18.49,1
6/7/11,18.07,1
6/8/11,18.79,1
6/9/11,17.77,0
6/10/11,18.86,1
6/13/11,19.61,1
6/14/11,18.26,0
6/15/11,21.32,1
6/16/11,22.73,1
6/17/11,21.85,1
6/20/11,19.99,0
6/21/11,18.86,0
6/22/11,18.52,0
6/23/11,19.29,0
6/24/11,21.1,1
6/27/11,20.56,1
6/28/11,19.17,0
6/29/11,17.27,0
6/30/11,16.52,0
7/1/11,15.87,0
7/5/11,16.06,0
7/6/11,16.34,0
7/7/11,15.95,0
7/8/11,15.95,0
7/11/11,18.39,1
7/12/11,19.87,1
7/13/11,19.91,1
7/14/11,20.8,1
7/15/11,19.53,1
7/18/11,20.95,1
7/19/11,19.21,0
7/20/11,19.09,0
7/21/11,17.56,0
7/22/11,17.52,0
7/25/11,19.35,1
7/26/11,20.23,1
7/27/11,22.98,1
7/28/11,23.74,1
7/29/11,25.25,1
8/1/11,23.66,1
8/2/11,24.79,1
8/3/11,23.38,0
8/4/11,31.66,1
8/5/11,32,1
8/8/11,48,1
8/9/11,35.06,1
8/10/11,42.99,1
8/11/11,39,1
8/12/11,36.36,0
8/15/11,31.87,0
8/16/11,32.85,0
8/17/11,31.58,0
8/18/11,42.67,1
8/19/11,43.05,1
8/22/11,42.44,1
8/23/11,36.27,0
8/24/11,35.9,0
8/25/11,39.76,0
8/26/11,35.59,0
8/29/11,32.28,0
8/30/11,32.89,0
8/31/11,31.62,0
9/1/11,31.82,0
9/2/11,33.92,1
9/6/11,37,1
9/7/11,33.38,0
9/8/11,34.32,1
9/9/11,38.52,1
9/12/11,38.59,1
9/13/11,36.91,1
9/14/11,34.6,0
9/15/11,31.97,0
9/16/11,30.98,0
9/19/11,32.73,0
9/20/11,32.86,0
9/21/11,37.32,1
9/22/11,41.35,1
9/23/11,41.25,1
9/26/11,39.02,1
9/27/11,37.71,0
9/28/11,41.08,1
9/29/11,38.84,0
9/30/11,42.96,1
10/3/11,45.45,1
10/4/11,40.82,0
10/5/11,37.81,0
10/6/11,36.27,0
10/7/11,36.2,0
10/10/11,33.02,0
10/11/11,32.86,0
10/12/11,31.26,0
10/13/11,30.7,0
10/14/11,28.24,0
10/17/11,33.39,1
10/18/11,31.56,1
10/19/11,34.44,1
10/20/11,34.78,1
10/21/11,31.32,0
10/24/11,29.26,0
10/25/11,32.22,0
10/26/11,29.86,0
10/27/11,25.46,0
10/28/11,24.53,0
10/31/11,29.96,1
11/1/11,34.77,1
11/2/11,32.74,1
11/3/11,30.5,1
11/4/11,30.16,0
11/7/11,29.85,0
11/8/11,27.48,0
11/9/11,36.16,1
11/10/11,32.81,1
11/11/11,30.04,0
11/14/11,31.13,0
11/15/11,31.22,0
11/16/11,33.51,1
11/17/11,34.51,1
11/18/11,32,0
11/21/11,32.91,1
11/22/11,31.97,0
11/23/11,33.98,1
11/25/11,34.47,1
11/28/11,32.13,0
11/29/11,30.64,0
11/30/11,27.8,0
12/1/11,27.41,0
12/2/11,27.52,0
12/5/11,27.84,0
12/6/11,28.13,0
12/7/11,28.67,1
12/8/11,30.59,1
12/9/11,26.38,0
12/12/11,25.67,0
12/13/11,25.41,0
12/14/11,26.04,0
12/15/11,25.11,0
12/16/11,24.29,0
12/19/11,24.92,0
12/20/11,23.22,0
12/21/11,21.43,0
12/22/11,21.16,0
12/23/11,20.73,0
12/27/11,21.91,0
12/28/11,23.52,1
12/29/11,22.65,1
12/30/11,23.4,1
1/3/12,22.97,1
1/4/12,22.22,0
1/5/12,21.48,0
1/6/12,20.63,0
1/9/12,21.07,0
1/10/12,20.69,0
1/11/12,21.05,0
1/12/12,20.47,0
1/13/12,20.91,1
1/17/12,22.2,1
1/18/12,20.89,0
1/19/12,19.87,0
1/20/12,18.28,0
1/23/12,18.67,0
1/24/12,18.91,0
1/25/12,18.31,0
1/26/12,18.57,0
1/27/12,18.53,0
1/30/12,19.4,1
1/31/12,19.44,1
2/1/12,18.55,0
2/2/12,17.98,0
2/3/12,17.1,0
2/6/12,17.76,0
2/7/12,17.65,0
2/8/12,18.16,1
2/9/12,18.63,1
2/10/12,20.79,1
2/13/12,19.04,1
2/14/12,19.54,1
2/15/12,21.14,1
2/16/12,19.22,0
2/17/12,17.78,0
2/21/12,18.19,0
2/22/12,18.19,0
2/23/12,16.8,0
2/24/12,17.31,0
2/27/12,18.19,1
2/28/12,17.96,1
2/29/12,18.43,1
3/1/12,17.26,0
3/2/12,17.29,0
3/5/12,18.05,1
3/6/12,20.87,1
3/7/12,19.07,1
3/8/12,17.95,0
3/9/12,17.11,0
3/12/12,15.64,0
3/13/12,14.8,0
3/14/12,15.31,0
3/15/12,15.42,0
3/16/12,14.47,0
3/19/12,15.04,0
3/20/12,15.58,1
3/21/12,15.13,0
3/22/12,15.57,1
3/23/12,14.82,0
3/26/12,14.26,0
3/27/12,15.59,1
3/28/12,15.47,1
3/29/12,15.48,1
3/30/12,15.5,1
4/2/12,15.64,1
4/3/12,15.66,1
4/4/12,16.44,1
4/5/12,16.7,1
4/9/12,18.81,1
4/10/12,20.39,1
4/11/12,20.02,1
4/12/12,17.2,0
4/13/12,19.55,1
4/16/12,19.55,1
4/17/12,18.46,0
4/18/12,18.64,0
4/19/12,18.36,0
4/20/12,17.44,0
4/23/12,18.97,1
4/24/12,18.1,0
4/25/12,16.82,0
4/26/12,16.24,0
4/27/12,16.32,0
4/30/12,17.15,0
5/1/12,16.6,0
5/2/12,16.88,1
5/3/12,17.56,1
5/4/12,19.16,1
5/7/12,18.94,1
5/8/12,19.05,1
5/9/12,20.08,1
5/10/12,18.83,0
5/11/12,19.89,1
5/14/12,21.87,1
5/15/12,21.97,1
5/16/12,22.27,1
5/17/12,24.49,1
5/18/12,25.1,1
5/21/12,22.01,0
5/22/12,22.48,0
5/23/12,22.33,0
5/24/12,21.54,0
5/25/12,21.76,0
5/29/12,21.03,0
5/30/12,24.14,1
5/31/12,24.06,1
6/1/12,26.66,1
6/4/12,26.12,1
6/5/12,24.68,1
6/6/12,22.16,0
6/7/12,21.72,0
6/8/12,21.23,0
6/11/12,23.56,1
6/12/12,22.09,0
6/13/12,24.27,1
6/14/12,21.68,0
6/15/12,21.11,0
6/18/12,18.32,0
6/19/12,18.38,0
6/20/12,17.24,0
6/21/12,20.08,1
6/22/12,18.11,0
6/25/12,20.38,1
6/26/12,19.72,1
6/27/12,19.45,1
6/28/12,19.71,1
6/29/12,17.08,0
7/2/12,16.8,0
7/3/12,16.66,0
7/5/12,17.5,0
7/6/12,17.1,0
7/9/12,17.98,1
7/10/12,18.72,1
7/11/12,17.95,1
7/12/12,18.33,1
7/13/12,16.74,0
7/16/12,17.11,0
7/17/12,16.48,0
7/18/12,16.16,0
7/19/12,15.45,0
7/20/12,16.27,0
7/23/12,18.62,1
7/24/12,20.47,1
7/25/12,19.34,1
7/26/12,17.53,0
7/27/12,16.7,0
7/30/12,18.03,0
7/31/12,18.93,1
8/1/12,18.96,1
8/2/12,17.57,0
8/3/12,15.64,0
8/6/12,15.95,0
8/7/12,15.99,0
8/8/12,15.32,0
8/9/12,15.28,0
8/10/12,14.74,0
8/13/12,13.7,0
8/14/12,14.85,0
8/15/12,14.63,0
8/16/12,14.29,0
8/17/12,13.45,0
8/20/12,14.02,0
8/21/12,15.02,1
8/22/12,15.11,1
8/23/12,15.96,1
8/24/12,15.18,1
8/27/12,16.35,1
8/28/12,16.49,1
8/29/12,17.06,1
8/30/12,17.83,1
8/31/12,17.47,1
9/4/12,17.98,1
9/5/12,17.74,1
9/6/12,15.6,0
9/7/12,14.38,0
9/10/12,16.28,0
9/11/12,16.41,1
9/12/12,15.8,0
9/13/12,14.05,0
9/14/12,14.51,0
9/17/12,14.59,0
9/18/12,14.18,0
9/19/12,13.88,0
9/20/12,14.07,0
9/21/12,13.98,0
9/24/12,14.15,1
9/25/12,15.43,1
9/26/12,16.81,1
9/27/12,14.84,0
9/28/12,15.73,1
10/1/12,16.32,1
10/2/12,15.71,0
10/3/12,15.43,0
10/4/12,14.55,0
10/5/12,14.33,0
10/8/12,15.11,0
10/9/12,16.37,1
10/10/12,16.29,1
10/11/12,15.59,1
10/12/12,16.14,1
10/15/12,15.27,0
10/16/12,15.22,0
10/17/12,15.07,0
10/18/12,15.03,0
10/19/12,17.06,1
10/22/12,16.62,1
10/23/12,18.83,1
10/24/12,18.33,1
10/25/12,18.12,1
10/26/12,17.81,1
10/31/12,18.6,1
11/1/12,16.69,0
11/2/12,17.59,0
11/5/12,18.42,1
11/6/12,17.58,0
11/7/12,19.08,1
11/8/12,18.49,1
11/9/12,18.61,1
11/12/12,16.68,0
11/13/12,16.65,0
11/14/12,17.92,1
11/15/12,17.99,1
11/16/12,16.41,0
11/19/12,15.24,0
11/20/12,15.08,0
11/21/12,15.31,0
11/23/12,15.14,0
11/26/12,15.5,1
11/27/12,15.92,1
11/28/12,15.51,1
11/29/12,15.06,0
11/30/12,15.87,1
12/3/12,16.64,1
12/4/12,17.12,1
12/5/12,16.46,1
12/6/12,16.58,1
12/7/12,15.9,0
12/10/12,16.05,0
12/11/12,15.57,0
12/12/12,15.95,0
12/13/12,16.56,1
12/14/12,17,1
12/17/12,16.34,1
12/18/12,15.57,0
12/19/12,17.36,1
12/20/12,17.67,1
12/21/12,17.84,1
12/24/12,17.84,1
12/26/12,19.48,1
12/27/12,19.47,1
12/28/12,22.72,1
12/31/12,18.02,0
1/2/13,14.68,0
1/3/13,14.56,0
1/4/13,13.83,0
1/7/13,13.79,0
1/8/13,13.62,0
1/9/13,13.81,0
1/10/13,13.49,0
1/11/13,13.36,0
1/14/13,13.52,0
1/15/13,13.55,0
1/16/13,13.42,0
1/17/13,13.57,1
1/18/13,12.46,0
1/22/13,12.43,0
1/23/13,12.46,0
1/24/13,12.69,0
1/25/13,12.89,1
1/28/13,13.57,1
1/29/13,13.31,1
1/30/13,14.32,1
1/31/13,14.28,1
2/1/13,12.9,0
2/4/13,14.67,1
2/5/13,13.72,0
2/6/13,13.41,0
2/7/13,13.5,0
2/8/13,13.02,0
2/11/13,12.94,0
2/12/13,12.64,0
2/13/13,12.98,0
2/14/13,12.66,0
2/15/13,12.46,0
2/19/13,12.31,0
2/20/13,14.68,1
2/21/13,15.22,1
2/22/13,14.17,1
2/25/13,18.99,1
2/26/13,16.87,1
2/27/13,14.73,0
2/28/13,15.51,0
3/1/13,15.36,0
3/4/13,14.01,0
3/5/13,13.48,0
3/6/13,13.53,0
3/7/13,13.06,0
3/8/13,12.59,0
3/11/13,11.56,0
3/12/13,12.27,0
